MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_5120_1	0.0074	0.0467	0.0000	0.0037	0.0156	0.0000	0.0000	0.0033	0.0042
mean_mC_byChr	Cluster_5120_3	0.0000	NaN	NaN	0.0000	0.0000	0.0000	NaN	0.0000	0.0000
mean_mC_byChr	Cluster_5121_0	0.0367	0.0667	0.0782	0.0271	0.0303	0.0300	0.0388	0.0351	0.0370
mean_mC_byChr	Cluster_5122_0	0.0085	0.0000	0.0000	0.0102	0.0442	0.0041	0.0064	0.0096	0.0118
mean_mC_byChr	Cluster_5123_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5123_1	0.0038	0.0000	NaN	0.0041	0.0000	0.0152	0.0015	0.0041	0.0011
mean_mC_byChr	Cluster_5124_0	0.0117	0.0000	0.0000	0.0139	0.0136	0.0012	0.0204	0.0125	0.0176
mean_mC_byChr	Cluster_5125_0	0.0298	0.0111	0.0374	0.0305	0.0466	0.0335	0.0193	0.0310	0.0297
mean_mC_byChr	Cluster_5126_1	0.0095	0.0000	0.0089	0.0101	0.0139	0.0051	0.0106	0.0099	0.0116
mean_mC_byChr	Cluster_5127_0	0.0378	0.0676	0.0750	0.0334	0.0098	0.0820	0.0349	0.0366	0.0227
mean_mC_byChr	Cluster_5128_0	0.0131	0.0400	0.0000	0.0071	0.0000	0.0000	0.0115	0.0063	0.0091
mean_mC_byChr	Cluster_5129_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_512_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5131_0	0.0556	NaN	NaN	0.0556	0.0834	NaN	0.0278	0.0556	0.0556
mean_mC_byChr	Cluster_5132_0	0.0000	0.0000	NaN	0.0000	NaN	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5133_0	0.0075	0.0096	0.0000	0.0082	0.0098	0.0058	0.0047	0.0070	0.0075
mean_mC_byChr	Cluster_5135_0	0.0074	0.0000	0.0135	0.0069	0.0131	0.0112	0.0040	0.0076	0.0065
mean_mC_byChr	Cluster_5135_1	0.0091	0.0000	0.0000	0.0125	0.0000	0.0000	0.0143	0.0100	0.0125
mean_mC_byChr	Cluster_5136_0	0.0176	0.0000	0.0000	0.0199	0.0376	0.0080	0.0084	0.0180	0.0212
mean_mC_byChr	Cluster_5137_0	0.0117	0.0609	0.0023	0.0058	0.0062	0.0039	0.0053	0.0053	0.0057
mean_mC_byChr	Cluster_5138_0	0.0285	0.0000	0.0333	0.0299	0.0556	0.0312	0.0170	0.0301	0.0295
mean_mC_byChr	Cluster_5139_0	0.0000	NaN	NaN	0.0000	NaN	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5139_1	0.0074	0.0000	0.0387	0.0000	0.0258	0.0000	0.0000	0.0091	0.0103
mean_mC_byChr	Cluster_5140_0	0.0013	0.0000	0.0000	0.0015	0.0037	0.0000	0.0000	0.0014	0.0018
mean_mC_byChr	Cluster_5141_0	0.0066	0.0000	0.0000	0.0077	0.0000	0.0000	0.0155	0.0070	0.0127
mean_mC_byChr	Cluster_5142_0	0.0208	NaN	0.0238	0.0204	0.0290	0.0190	0.0159	0.0208	0.0219
mean_mC_byChr	Cluster_5143_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5144_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5145_0	0.0253	0.0256	0.1429	0.0214	0.0169	0.0357	0.0249	0.0252	0.0211
mean_mC_byChr	Cluster_5146_0	0.0125	NaN	NaN	0.0125	0.0000	0.0500	0.0000	0.0125	0.0000
mean_mC_byChr	Cluster_5147_0	0.0093	0.0000	0.0000	0.0106	0.0556	0.0095	0.0000	0.0099	0.0101
mean_mC_byChr	Cluster_5148_0	0.0211	NaN	0.0000	0.0218	0.1061	0.0058	0.0092	0.0211	0.0277
mean_mC_byChr	Cluster_5149_0	0.0107	0.0163	0.0130	0.0100	0.0154	0.0040	0.0107	0.0102	0.0120
mean_mC_byChr	Cluster_514_0	0.0123	0.0000	0.0321	0.0116	0.0099	0.0144	0.0143	0.0135	0.0133
mean_mC_byChr	Cluster_5151_0	0.0881	0.0000	0.1000	0.1409	0.1364	0.1432	0.1000	0.1273	0.1145
mean_mC_byChr	Cluster_5153_0	0.0327	0.0326	0.0279	0.0330	0.0541	0.0371	0.0257	0.0327	0.0310
mean_mC_byChr	Cluster_5154_0	0.0688	0.0139	0.0625	0.0786	0.1827	0.0182	0.0330	0.0780	0.1078
mean_mC_byChr	Cluster_5154_1	0.0488	NaN	NaN	0.0488	0.1000	0.0156	0.0385	0.0488	0.0754
mean_mC_byChr	Cluster_5155_0	0.0520	NaN	0.0182	0.0539	0.0178	0.0216	0.0799	0.0520	0.0579
mean_mC_byChr	Cluster_5156_0	0.0000	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5157_0	0.0009	0.0000	0.0000	0.0011	0.0000	0.0037	0.0009	0.0010	0.0007
mean_mC_byChr	Cluster_5157_2	0.0106	NaN	0.0000	0.0114	0.0000	0.0123	0.0185	0.0106	0.0093
mean_mC_byChr	Cluster_5158_0	0.0390	0.0000	0.0000	0.0433	0.0000	0.1468	0.0066	0.0410	0.0046
mean_mC_byChr	Cluster_5159_0	0.0375	NaN	NaN	0.0375	0.0242	0.0423	0.0769	0.0375	0.0359
mean_mC_byChr	Cluster_5159_1	0.0026	NaN	NaN	0.0026	0.0037	0.0000	0.0030	0.0026	0.0033
mean_mC_byChr	Cluster_515_0	0.0329	0.0001	0.0000	0.0357	0.0567	0.0000	0.0100	0.0347	0.0367
mean_mC_byChr	Cluster_5160_0	0.0055	0.0000	0.0000	0.0062	0.0101	0.0100	0.0000	0.0058	0.0040
mean_mC_byChr	Cluster_5161_0	0.0008	0.0000	0.0000	0.0010	0.0000	0.0029	0.0000	0.0009	0.0000
mean_mC_byChr	Cluster_5163_0	0.0010	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5164_0	0.0114	0.0000	0.0000	0.0133	0.0205	0.0029	0.0114	0.0123	0.0155
mean_mC_byChr	Cluster_5165_0	0.0076	0.0000	0.0801	0.0000	0.0000	0.0256	0.0076	0.0084	0.0052
